industry_id,name,description,classification_basis,is_active
semiconductor,半導体,,半導体デバイス・製造装置・素材など、半導体サプライチェーンの各分野で研究開発・製造・販売を主要事業とする企業,true
sier,SIer・コンサル,,顧客の情報システムの企画・開発・運用を主要事業とする企業,true
telecommunications,通信事業者,,国内で固定・移動通信サービスを主要事業とする企業,true
infrastructure,インフラ事業者,,クラウド基盤や計算資源を通じて情報システムの設計・運用を支える事業者,true
mega-venture,メガベンチャー,,最先端の技術でIT技術を牽引する新しい大企業,true
venture,ベンチャー,,技術力が高く、革新的なビジネスを展開する新しい企業。基本的に非上場なのでIR情報は少ない,true
game,ゲーム・エンターテインメント,,ゲームソフト・ゲーム機・玩具・キャラクターなど、遊びやエンターテインメント関連の商品・サービスを主要事業とする企業,true
automotive,自動車,,自動車の開発・製造・販売を主要事業とする企業,true
electronics,電機,,重電・家電・情報機器・FA機器など電気機器の開発・製造を主要事業とする総合メーカー,true
heavy-industry,重工業,,航空・宇宙・防衛、エネルギー・プラント、船舶、産業機械、輸送システムなど大型機械システムの開発・製造を主要事業とする総合重機メーカー,true
